"Grupo","Categoria","value"
"Até 300 ha (Total)","Formação Florestal",18.7553499703694
"Até 300 ha (Total)","Formação Savânica",1.64038322249292
"Até 300 ha (Total)","Floresta Alagável",4.41207941002173
"Até 300 ha (Total)","Silvicultura",3.65114900902087
"Até 300 ha (Total)","Campo Alagado",6.48581023243564
"Até 300 ha (Total)","Formação Campestre",0.399601632975571
"Até 300 ha (Total)","Pastagem",51.7292750378613
"Até 300 ha (Total)","Mosaico de Usos",2.79391914137091
"Até 300 ha (Total)","Área Urbanizada",0.329640481991177
"Até 300 ha (Total)","Outras Áreas não Vegetadas",0.224698755514585
"Até 300 ha (Total)","Afloramento Rochoso",0.670392440903404
"Até 300 ha (Total)","Mineração",0.0362151840389807
"Até 300 ha (Total)","Corpo d'Água",0.218937248962929
"Até 300 ha (Total)","Soja",8.14471258313031
"Até 300 ha (Total)","Outras lavouras temporárias",0.507835648910252
"Até 300 ha (Total)",NA,23499.2926881274
