"id_buffer","categoria_bruta","pixels","percentagem","Categoria_Limpa","Cores"
1,"Formação Florestal",773,100,"Formação Florestal","#006400"
2,"Formação Florestal",773,100,"Formação Florestal","#006400"
3,"Formação Florestal",772,100,"Formação Florestal","#006400"
4,"Formação Florestal",773,100,"Formação Florestal","#006400"
5,"Formação Florestal",773,100,"Formação Florestal","#006400"
6,"Formação Florestal",774,100,"Formação Florestal","#006400"
7,"Formação Florestal",770,100,"Formação Florestal","#006400"
8,"Formação Florestal",667,86.2871927554981,"Formação Florestal","#006400"
8,NA,106,13.7128072445019,NA,NA
9,"Formação Florestal",773,100,"Formação Florestal","#006400"
10,"Formação Florestal",575,74.2894056847545,"Formação Florestal","#006400"
10,"Pastagem",199,25.7105943152455,"Pastagem","#ffff00"
11,"Formação Florestal",736,95.4604409857328,"Formação Florestal","#006400"
11,NA,35,4.53955901426719,NA,NA
12,"Formação Florestal",770,100,"Formação Florestal","#006400"
13,"Formação Florestal",774,100,"Formação Florestal","#006400"
14,"Formação Florestal",770,100,"Formação Florestal","#006400"
15,"Formação Florestal",773,100,"Formação Florestal","#006400"
